Check,ID,Name,Type,Rarity,Drop Category,Character Category
[ ],1261,Senor Pink  - North Blue Pirate,INT,4,Limited RR,Rare Recruit
[ ],1262,Senor Pink  - North Blue Darkness,INT,5,Limited RR,Rare Recruit
[ ],1263,Vergo - North Blue Pirate,QCK,4,Limited RR,Rare Recruit
[ ],1264,Vergo - North Blue Darkness,QCK,5,Limited RR,Rare Recruit
[ ],1265,Ace - Twilight Wayside,STR,4,Limited RR,Rare Recruit
[ ],1266,Ace - Moonlight Gloss,STR,5,Limited RR,Rare Recruit
[ ],1267,Marshall D. Teach - Blackbeard Pirate Captain,DEX,5,Normal,Legend
[ ],1268,Blackbeard - Blackbeard Pirate Captain,DEX,6,Normal,Legend
[ ],1269,Lafitte,DEX,4,Normal,Rare Recruit
[ ],1270,Demon Sheriff Lafitte,DEX,5,Normal,Rare Recruit
[ ],1271,Van Ogre,QCK,4,Normal,Rare Recruit
[ ],1272,Supersonic Van Ogre,QCK,5,Normal,Rare Recruit
[ ],1273,Jesus Burgess,STR,4,Normal,Rare Recruit
[ ],1274,Champion Jesus Burgess,STR,5,Normal,Rare Recruit
[ ],1275,Shiryu,INT,4,Normal,Rare Recruit
[ ],1276,Shiryu of the Rain,INT,5,Normal,Rare Recruit
[ ],1277,Doc Q,PSY,4,Normal,Rare Recruit
[ ],1278,Death God Doc Q,PSY,5,Normal,Rare Recruit
[ ],1284,Monkey D. Luffy - Wild Pirate,PSY,4,Rayleigh Shop,Rare Recruit
[ ],1285,Monkey D. Luffy - World Explorer,PSY,5,Rayleigh Shop,Rare Recruit
[ ],1295,Kalifa: Glamorous Mummy,STR,4,Limited RR,Rare Recruit
[ ],1296,Kalifa: Glamorous Mummy - Halloween Night Masquerade,STR,5,Limited RR,Rare Recruit
[ ],1307,Bartolomeo: Full Moon Wolf,QCK,4,Limited RR,Rare Recruit
[ ],1308,Bartolomeo: Full Moon Wolf - Halloween Night Masquerade,QCK,5,Limited RR,Rare Recruit
[ ],1313,Akainu - Navy HQ Powerhouse,STR,5,Normal,Legend
[ ],1314,Sakazuki,STR,6,Normal,Legend
[ ],1315,Petty Officer Coby - Grand Line Sailor,PSY,4,Normal,Rare Recruit
[ ],1316,Petty Officer Coby - Hero of the Navy's Student,PSY,5,Normal,Rare Recruit
[ ],1317,Monkey D. Garp - Navy HQ Vice Admiral,STR,4,Normal,Rare Recruit
[ ],1318,Garp the Fist - Navy HQ Vice Admiral,STR,5,Normal,Rare Recruit
[ ],1319,Tsuru - Navy HQ Vice Admiral,QCK,4,Normal,Rare Recruit
[ ],1320,Great Advisor Tsuru - Navy HQ Vice Admiral,QCK,5,Normal,Rare Recruit
[ ],1321,Momonga - Monster-Slaying Master General,DEX,4,Normal,Rare Recruit
[ ],1322,Navy HQ Vice Admiral Momonga - Monster-Slaying Master General,DEX,5,Normal,Rare Recruit
[ ],1323,Onigumo - Eight-Swords Style Fighter,INT,4,Normal,Rare Recruit
[ ],1324,Navy HQ Vice Admiral Onigumo - Eight-Swords Style Fighter,INT,5,Normal,Rare Recruit
[ ],1335,Sabo - One Act With You,INT,4,Limited RR,Rare Recruit
[ ],1336,Sabo - Phantom of the Theater,INT,5,Limited RR,Rare Recruit
[ ],1354,Silvers Rayleigh - Master of a Sleepless Town,DEX,4,Limited RR,Rare Recruit
[ ],1355,Silvers Rayleigh - Dark King Shining in the Limelight,DEX,5,Limited RR,Rare Recruit
[ ],1360,Luffy's Winter Island Adventure,QCK,4,Rayleigh Shop,Rare Recruit
[ ],1361,Roronoa Zoro - Straw Hat Pirates: Reunited,DEX,5,Normal,Legend
[ ],1362,Roronoa Zoro - Straw Hat Pirates: Born Again,DEX,6,Normal,Legend
[ ],1363,Franky - Straw Hat Pirates: Reunited,PSY,4,Normal,Rare Recruit
[ ],1364,Franky - Straw Hat Pirates: Born Again,PSY,5,Normal,Rare Recruit
[ ],1365,Nami - Straw Hat Pirates: Reunited,INT,4,Normal,Rare Recruit
[ ],1366,Nami - Straw Hat Pirates: Born Again,INT,5,Normal,Rare Recruit
[ ],1367,Sanji - Straw Hat Pirates: Reunited,STR,4,Normal,Rare Recruit
[ ],1368,Sanji - Straw Hat Pirates: Born Again,STR,5,Normal,Rare Recruit
[ ],1369,Tony Tony Chopper - Straw Hat Pirates: Reunited,QCK,4,Normal,Rare Recruit
[ ],1370,Tony Tony Chopper - Straw Hat Pirates: Born Again,QCK,5,Normal,Rare Recruit
[ ],1371,Roronoa Zoro - Wild Pirate,QCK,4,Rayleigh Shop,Rare Recruit
[ ],1372,Roronoa Zoro - World Explorer,QCK,5,Rayleigh Shop,Rare Recruit
[ ],1381,Tashigi - Silent Night Star,PSY,4,Limited RR,Rare Recruit
[ ],1382,Tashigi - Holy Night Heroine,PSY,5,Limited RR,Rare Recruit
[ ],1390,Buggy the Clown - Captain of the Buggy Pirates,INT,5,Normal,Legend
[ ],1391,Captain Buggy,INT,6,Normal,Legend
[ ],1394,Baby 5 - Divine Attire,QCK,4,Limited RR,Rare Recruit
[ ],1395,Baby 5 - Whimsical Kimono,QCK,5,Limited RR,Rare Recruit
[ ],1403,Monkey D. Luffy - Straw Hat Pirates: Reunited,QCK,5,Normal,Legend
[ ],1404,Monkey D. Luffy - Straw Hat Pirates: Born Again,QCK,6,Normal,Legend
[ ],1405,Usopp - Straw Hat Pirates: Reunited,PSY,4,Normal,Rare Recruit
[ ],1406,Usopp - Straw Hat Pirates: Born Again,PSY,5,Normal,Rare Recruit
[ ],1407,Nico Robin - Straw Hat Pirates: Reunited,DEX,4,Normal,Rare Recruit
[ ],1408,Nico Robin - Straw Hat Pirates: Born Again,DEX,5,Normal,Rare Recruit
[ ],1409,Brook - Straw Hat Pirates: Reunited,INT,4,Normal,Rare Recruit
[ ],1410,Brook - Straw Hat Pirates: Born Again,INT,5,Normal,Rare Recruit
[ ],1411,Tony Tony Chopper: Limb Boost - Straw Hat Pirates: Reunited,STR,4,Normal,Rare Recruit
[ ],1412,Tony Tony Chopper: Monster Point - Straw Hat Pirates: Born Again,STR,5,Normal,Rare Recruit
[ ],1413,Whitebeard - Four Emperors,STR,6+,Normal,Legend
[ ],1419,Rob Lucci - Beckoning Kimono,INT,4,Limited RR,Rare Recruit
[ ],1420,Rob Lucci - Silken Seam,INT,5,Limited RR,Rare Recruit
[ ],1429,Mansherry - February Favorite,DEX,4,Limited RR,Rare Recruit
[ ],1430,Mansherry - March Courage,DEX,5,Limited RR,Rare Recruit
[ ],1433,Hody Jones - New Fish-Man Pirates Executive,INT,5,Normal,Legend
[ ],1434,Hody Jones - Fish-Man District Spirit,INT,6,Normal,Legend
[ ],1435,Hyouzou - New Fish-Man Pirates,QCK,4,Normal,Rare Recruit
[ ],1436,Hyouzou - Fish-Man District Spirit,QCK,5,Normal,Rare Recruit
[ ],1437,Ikaros Much - New Fish-Man Pirates,PSY,4,Normal,Rare Recruit
[ ],1438,Ikaros Much - Fish-Man District Spirit,PSY,5,Normal,Rare Recruit
[ ],1439,Daruma - New Fish-Man Pirates,DEX,4,Normal,Rare Recruit
[ ],1440,Daruma - Fish-Man District Spirit,DEX,5,Normal,Rare Recruit
[ ],1441,Zeo - New Fish-Man Pirates,INT,4,Normal,Rare Recruit
[ ],1442,Zeo - Fish-Man District Spirit,INT,5,Normal,Rare Recruit
[ ],1443,Dosun - New Fish-Man Pirates,STR,4,Normal,Rare Recruit
[ ],1444,Dosun - Fish-Man District Spirit,STR,5,Normal,Rare Recruit
[ ],1445,Boa Hancock - Snake Princess,QCK,6+,Normal,Legend
[ ],1453,Marguerite - Fretful on the 13th,STR,4,Limited RR,Rare Recruit
[ ],1454,Marguerite - Festive on the 14th,STR,5,Limited RR,Rare Recruit
[ ],1466,Cavendish - Gentleman of White Day,PSY,4,Limited RR,Rare Recruit
[ ],1467,Cavendish - Daydream of White Day,PSY,5,Limited RR,Rare Recruit
[ ],1472,Princess Shirahoshi,PSY,5,Normal,Legend
[ ],1473,Princess Shirahoshi - Ryugu Kingdom Royal Princess,PSY,6,Normal,Legend
[ ],1474,Neptune,STR,4,Normal,Rare Recruit
[ ],1475,Neptune - King of the Ryugu Kingdom,STR,5,Normal,Rare Recruit
[ ],1476,Fukaboshi,PSY,4,Normal,Rare Recruit
[ ],1477,Fukaboshi - Prince of the Ryugu Kingdom,PSY,5,Normal,Rare Recruit
[ ],1478,Caribou - Captain of the Caribou Pirates,QCK,4,Normal,Rare Recruit
[ ],1479,Wet-Haired Caribou - Captain of the Caribou Pirates,QCK,5,Normal,Rare Recruit
[ ],1480,Vander Decken IX - Demon Ship Captain,DEX,4,Normal,Rare Recruit
[ ],1481,Vander Decken IX - Flying Pirates Captain,DEX,5,Normal,Rare Recruit
[ ],1482,Madam Sharley,INT,4,Normal,Rare Recruit
[ ],1483,Madam Sharley - Fortune Teller,INT,5,Normal,Rare Recruit
[ ],1484,Sanji - Wild Pirate,STR,4,Rayleigh Shop,Rare Recruit
[ ],1485,Sanji - World Explorer,STR,5,Rayleigh Shop,Rare Recruit
[ ],1492,Sabo - Flame-Flame Fruit Wielder,PSY,6+,Normal,Legend
[ ],1513,Sanji - Springtime Porter,DEX,4,Limited RR,Rare Recruit
[ ],1514,Sanji - Handmade Memento,DEX,5,Limited RR,Rare Recruit
[ ],1523,Tony Tony Chopper - Big Dreams in a Small Flask,PSY,4,Limited RR,Rare Recruit
[ ],1524,Tony Tony Chopper - Spring View on Winter Island,PSY,5,Limited RR,Rare Recruit
[ ],1531,Usoland,DEX,5,Normal,Legend
[ ],1532,God Usopp,DEX,6,Normal,Legend
[ ],1533,Silvers Rayleigh - Straw Hat Pirates Contributor,QCK,4,Normal,Rare Recruit
[ ],1534,Silvers Rayleigh - Straw Hat Pirates Conspirator,QCK,5,Normal,Rare Recruit
[ ],1535,Duval - Straw Hat Pirates Contributor,PSY,4,Normal,Rare Recruit
[ ],1536,Duval - Straw Hat Pirates Conspirator,PSY,5,Normal,Rare Recruit
[ ],1537,Heracles - Straw Hat Pirates Contributor,STR,4,Normal,Rare Recruit
[ ],1538,Heracles - Straw Hat Pirates Conspirator,STR,5,Normal,Rare Recruit
[ ],1539,Perona - Straw Hat Pirates Contributor,INT,4,Normal,Rare Recruit
[ ],1540,Perona - Straw Hat Pirates Conspirator,INT,5,Normal,Rare Recruit
[ ],1541,Elizabeth - Straw Hat Pirates Contributor,DEX,4,Normal,Rare Recruit
[ ],1542,Elizabeth - Straw Hat Pirates Conspirator,DEX,5,Normal,Rare Recruit
[ ],1543,"Captain Usopp - The Great Adventure of Usopp the Man, Ch. 2",DEX,6+,Normal,Legend
[ ],1544,Koala - Under the Cherry Trees,INT,4,Limited RR,Rare Recruit
[ ],1545,Koala - Cherry Lips,INT,5,Limited RR,Rare Recruit
[ ],1567,Boa Hancock - Girl Warrior,QCK,4,Limited RR,Rare Recruit
[ ],1568,Boa Hancock - Princess's Glance,QCK,5,Limited RR,Rare Recruit
[ ],1569,Trafalgar Law - Straw Hat-Heart Pirate Alliance,INT,4,Rayleigh Shop,Rare Recruit
[ ],1570,Dogstorm,STR,5,Normal,Legend
[ ],1571,Dogstorm: King of the Day,STR,6,Normal,Legend
[ ],1572,Wanda,QCK,4,Normal,Rare Recruit
[ ],1573,Wanda: Kingsbird,QCK,5,Normal,Rare Recruit
[ ],1574,Shishilian,INT,4,Normal,Rare Recruit
[ ],1575,Full-Power Shishilian,INT,5,Normal,Rare Recruit
[ ],1576,Kin'emon - Wano Country Samurai,DEX,4,Normal,Rare Recruit
[ ],1577,Foxfire Kin'emon - Wano Country Samurai,DEX,5,Normal,Rare Recruit
[ ],1578,Momonosuke,PSY,4,Normal,Rare Recruit
[ ],1579,Momonosuke - Wano Country Child,PSY,5,Normal,Rare Recruit
[ ],1587,"Sanji - Third Son, Vinsmoke Family",INT,5,Normal,Legend
[ ],1588,"Sanji - Prince, Kingdom of Germa",INT,6,Normal,Legend
[ ],1589,Shanks - Celebrate the Long Cruise,QCK,4,Limited RR,Rare Recruit
[ ],1590,Red-Haired Shanks - Celebrate the Long Cruise,QCK,5,Limited RR,Rare Recruit
[ ],1591,Boa Hancock - Celebrate the Long Cruise,INT,4,Limited RR,Rare Recruit
[ ],1592,Empress Boa Hancock - Celebrate the Long Cruise,INT,5,Limited RR,Rare Recruit
[ ],1593,Monkey D. Luffy - Gear Four: Bounceman,PSY,6+,Normal,Legend
[ ],1609,Kami Eneru - Arch-Enemies of an Endless Dream,QCK,5,Normal,Legend
[ ],1610,Kami Eneru - Battles of the Great Era of Piracy: Endless Varse,QCK,6,Normal,Legend
[ ],1611,Bartholomew Kuma - Arch-Enemies of an Endless Dream,PSY,4,Normal,Rare Recruit
[ ],1612,Bartholomew Kuma - Battles of the Great Era of Piracy: A Crew Annihilated,PSY,5,Normal,Rare Recruit
[ ],1613,Rob Lucci - Arch-Enemies of an Endless Dream,DEX,4,Normal,Rare Recruit
[ ],1614,Rob Lucci - Battles of the Great Era of Piracy: Dark Justice,DEX,5,Normal,Rare Recruit
[ ],1615,Mr. 0 - Arch-Enemies of an Endless Dream,INT,4,Normal,Rare Recruit
[ ],1616,Mr. 0 - Battles of the Great Era of Piracy: Utopia,INT,5,Normal,Rare Recruit
[ ],1617,Gecko Moria - Arch-Enemies of an Endless Dream,STR,4,Normal,Rare Recruit
[ ],1618,Gecko Moria - Battles of the Great Era of Piracy: Strongest Underlings,STR,5,Normal,Rare Recruit
[ ],1619,The Dark King Silvers Rayleigh - Pirate King's Right-Hand Man,INT,6+,Normal,Legend
[ ],1620,Eustass Kid - In the Wake of an Endless Dream: Kid Pirates,STR,4,Limited RR,Rare Recruit
[ ],1621,Eustass Kid - A Vow in the Great Age of Pirates: Pirate King,STR,5,Limited RR,Rare Recruit
[ ],1631,Fisher Tiger,PSY,4,Limited RR,Rare Recruit
[ ],1632,Fisher Tiger - Sun Pirates Captain,PSY,5,Limited RR,Rare Recruit
[ ],1651,Cat Viper,PSY,5,Normal,Legend
[ ],1652,Cat Viper: King of the Night,PSY,6,Normal,Legend
[ ],1653,Pedro,INT,4,Normal,Rare Recruit
[ ],1654,Treetop Pedro,INT,5,Normal,Rare Recruit
[ ],1655,Carrot,QCK,4,Normal,Rare Recruit
[ ],1656,Carrot: Kingsbird,QCK,5,Normal,Rare Recruit
[ ],1657,Kanjuro - Wano Kingdom Samurai,DEX,4,Normal,Rare Recruit
[ ],1658,Evening Shower Kanjuro - Wano Kingdom Samurai,DEX,5,Normal,Rare Recruit
[ ],1659,Raizo,STR,4,Normal,Rare Recruit
[ ],1660,Raizo of the Mist,STR,5,Normal,Rare Recruit
[ ],1661,"Corazon - Rain, Rain, Go Away",QCK,4,Rayleigh Shop,Rare Recruit
[ ],1662,Corazon - Disappearing Raindrops,QCK,5,Rayleigh Shop,Rare Recruit
[ ],1663,"Rob Lucci ""Life Return"" - CP9's Strongest",STR,6+,Normal,Legend
[ ],1664,"Aokiji - ""Duel"" Opponent",STR,4,Limited RR,Rare Recruit
[ ],1665,"Aokiji - ""Duel"" Victor",STR,5,Limited RR,Rare Recruit
[ ],1673,Perona - Princess of the Dark Beach,QCK,4,Limited RR,Rare Recruit
[ ],1674,Perona - Princess of the Bold Swimsuit,QCK,5,Limited RR,Rare Recruit
[ ],1675,Roronoa Zoro - Paper Umbrella Swordsman,PSY,4,Rayleigh Shop,Rare Recruit
[ ],1676,Roronoa Zoro - Swordsman in the Rain,PSY,5,Rayleigh Shop,Rare Recruit
[ ],1677,Trafalgar Law - In the Wake of an Endless Dream: Heart Pirates,INT,4,Limited RR,Rare Recruit
[ ],1678,Trafalgar Law - A Vow in the Great Age of Pirates: Freedom,INT,5,Limited RR,Rare Recruit
[ ],1681,Monkey D. Luffy - Celebrate 20th Anniversary Cruise,STR,4,Normal,Rare Recruit
[ ],1682,Monkey D. Luffy - 20th Anniversary Memorial Treasure,STR,5,Normal,Rare Recruit
[ ],1683,Nico Robin - Celebrate 20th Anniversary Cruise,QCK,4,Normal,Rare Recruit
[ ],1684,Nico Robin - 20th Anniversary Memorial Treasure,QCK,5,Normal,Rare Recruit
[ ],1685,Usopp - Celebrate 20th Anniversary Cruise,INT,4,Normal,Rare Recruit
[ ],1686,Usopp - 20th Anniversary Memorial Treasure,INT,5,Normal,Rare Recruit
[ ],1687,Franky - Celebrate 20th Anniversary Cruise,DEX,4,Normal,Rare Recruit
[ ],1688,Franky - 20th Anniversary Memorial Treasure,DEX,5,Normal,Rare Recruit
[ ],1697,Magellan - Prison Ruler,DEX,5,Normal,Legend
[ ],1698,Magellan - Hell's Ruler,DEX,6,Normal,Legend
[ ],1699,Jinbe - Prisoner of Eternal Hell,PSY,4,Normal,Rare Recruit
[ ],1700,Jinbe - Warlord in Hell,PSY,5,Normal,Rare Recruit
[ ],1701,Emporio Ivankov - New Kama Land Prisoner,QCK,4,Normal,Rare Recruit
[ ],1702,Emporio Ivankov - Revolutionary in Hell,QCK,5,Normal,Rare Recruit
[ ],1703,Hannyabal - Ruler's Right-Hand Man,INT,4,Normal,Rare Recruit
[ ],1704,Hannyabal - Ruler's Right-Hand Man (For Now),INT,5,Normal,Rare Recruit
[ ],1705,Mr. 2 Bon Clay - Prisoner of Starvation Hell,STR,4,Normal,Rare Recruit
[ ],1706,Mr. 2 Bon Clay - A Friend in Hell,STR,5,Normal,Rare Recruit
[ ],1707,Red-Haired Shanks - Emperor,PSY,6+,Normal,Legend
[ ],1712,Akainu - Paramount War Firestarter,DEX,4,Limited RR,Rare Recruit
[ ],1713,Akainu - Paramount War Hellfire,DEX,5,Limited RR,Rare Recruit
[ ],1720,Jinbe - Neptune's Army Soldier: Ryugu Kingdom,QCK,4,Limited RR,Rare Recruit
[ ],1721,Big Boss Jinbe - Neptune's Army Soldier: Ryugu Kingdom,QCK,5,Limited RR,Rare Recruit
[ ],1730,Nefeltari Vivi - Dazzling White,INT,4,Limited RR,Rare Recruit
[ ],1731,Nefeltari Vivi - Transparent Charm,INT,5,Limited RR,Rare Recruit
[ ],1740,Boa Sandersonia - Straw Hat Luffy's Contributor,DEX,4,Normal,Rare Recruit
[ ],1741,Boa Sandersonia - Straw Hat Luffy's Conspirator,DEX,5,Normal,Rare Recruit
[ ],1742,Boa Marigold - Straw Hat Luffy's Contributor,STR,4,Normal,Rare Recruit
[ ],1743,Boa Marigold - Straw Hat Luffy's Conspirator,STR,5,Normal,Rare Recruit
[ ],1744,Marguerite - Straw Hat Luffy's Contributor,INT,4,Normal,Rare Recruit
[ ],1745,Marguerite - Straw Hat Luffy's Conspirator,INT,5,Normal,Rare Recruit
[ ],1746,Boa Hancock - Straw Hat Luffy's Contributor,PSY,5,Normal,Legend
[ ],1747,Boa Hancock - Straw Hat Luffy's Conspirator,PSY,6,Normal,Legend
[ ],1748,Bepo - Straw Hat Luffy's Contributor,QCK,4,Normal,Rare Recruit
[ ],1749,Bepo - Straw Hat Luffy's Conspirator,QCK,5,Normal,Rare Recruit
[ ],1750,"""Surgeon of Death"" Trafalgar Law - Joker-Tracking Heart",QCK,5,Normal,Legend
[ ],1751,"""Warlord of the Sea"" Trafalgar Law - Joker-Tracking Heart",QCK,6,Normal,Legend
[ ],1752,Roronoa Zoro - Celebrate 20th Anniversary Cruise,INT,4,Normal,Rare Recruit
[ ],1753,Roronoa Zoro - 20th Anniversary Memorial Treasure,INT,5,Normal,Rare Recruit
[ ],1754,Sanji - Celebrate 20th Anniversary Cruise,PSY,4,Normal,Rare Recruit
[ ],1755,Sanji - 20th Anniversary Memorial Treasure,PSY,5,Normal,Rare Recruit
[ ],1756,Nami - Celebrate 20th Anniversary Cruise,STR,4,Normal,Rare Recruit
[ ],1757,Nami - 20th Anniversary Memorial Treasure,STR,5,Normal,Rare Recruit
[ ],1758,Brook - Celebrate 20th Anniversary Cruise,QCK,4,Normal,Rare Recruit
[ ],1759,Brook - 20th Anniversary Memorial Treasure,QCK,5,Normal,Rare Recruit
[ ],1760,Tony Tony Chopper - Celebrate 20th Anniversary Cruise,DEX,4,Normal,Rare Recruit
[ ],1761,Tony Tony Chopper - 20th Anniversary Memorial Treasure,DEX,5,Normal,Rare Recruit
[ ],1762,Rob Lucci - World Government Monster,QCK,5,Normal,Legend
[ ],1763,Lucci: Beastman - World Government Monster,QCK,6,Normal,Legend
[ ],1764,Kuzan - Ex-Naval HQ Top Force,QCK,6+,Normal,Legend
[ ],1769,Ben Beckman - Red-Hair Pirates First Mate,INT,4,Limited RR,Rare Recruit
[ ],1770,Ben Beckman - Red-Hair Emperor's Right-Hand Man,INT,5,Limited RR,Rare Recruit
[ ],1777,Kizaru - Emissary from the Sacred Land,QCK,4,Limited RR,Rare Recruit
[ ],1778,Kizaru - Sojourner from the Sacred Land,QCK,5,Limited RR,Rare Recruit
[ ],1793,Lucy - Star of Corrida Coliseum,STR,5,Normal,Legend
[ ],1794,Lucy - Victor of the Corrida Coliseum,STR,6,Normal,Legend
[ ],1795,Mr. Diamante - Hero of Corrida Coliseum,QCK,4,Normal,Rare Recruit
[ ],1796,Diamante - Dressrosa King's Family,QCK,5,Normal,Rare Recruit
[ ],1797,Jesus Burgess - Corrida Coliseum A-Block Champion,DEX,4,Normal,Rare Recruit
[ ],1798,Jesus Burgess - Assassin in the Birdcage,DEX,5,Normal,Rare Recruit
[ ],1799,Cavendish - Corrida Coliseum D-Block White Horse,DEX,4,Normal,Rare Recruit
[ ],1800,Cavendish - Rebel in the Birdcage,DEX,5,Normal,Rare Recruit
[ ],1801,Bartolomeo - Corrida Coliseum B-Block Cannibal,QCK,4,Normal,Rare Recruit
[ ],1802,Bartolomeo - Rebel in the Birdcage,QCK,5,Normal,Rare Recruit
[ ],1803,Roronoa Zoro - East Blue Pirate,DEX,4,Treasure Map,Rare Recruit
[ ],1804,Roronoa Zoro - East Blue Master Swordsman,DEX,5,Treasure Map,Rare Recruit
[ ],1805,Buggy the Clown - Unbeatable Chop-Chop Man,QCK,4,Treasure Map,Rare Recruit
[ ],1806,Captain Buggy - Unbeatable Chop-Chop Man,QCK,5,Treasure Map,Rare Recruit
[ ],1816,Portgas D. Ace - Darkness-Slaying Sun,DEX,6+,Normal,Legend
[ ],1821,Sanji - Pirate with Stage Outfit,STR,4,Rayleigh Shop,Rare Recruit
[ ],1822,Sanji - Prince with Stage Outfit,STR,5,Rayleigh Shop,Rare Recruit
[ ],1823,Byrnndi World - More-More Fruit User,STR,4,Limited RR,Rare Recruit
[ ],1824,Byrnndi World - World Destroyer,STR,5,Limited RR,Rare Recruit
[ ],1831,Vinsmoke Judge,PSY,5,Normal,Legend
[ ],1832,Vinsmoke Judge - Science Military Germa 66,PSY,6,Normal,Legend
[ ],1833,Vinsmoke Reiju,INT,4,Normal,Rare Recruit
[ ],1834,Vinsmoke Reiju - Science Military Germa 66,INT,5,Normal,Rare Recruit
[ ],1835,Vinsmoke Ichiji,STR,4,Normal,Rare Recruit
[ ],1836,Vinsmoke Ichiji - Science Military Germa 66,STR,5,Normal,Rare Recruit
[ ],1837,Vinsmoke Niji,QCK,4,Normal,Rare Recruit
[ ],1838,Vinsmoke Niji - Science Military Germa 66,QCK,5,Normal,Rare Recruit
[ ],1839,Vinsmoke Yonji,DEX,4,Normal,Rare Recruit
[ ],1840,Vinsmoke Yonji - Science Military Germa 66,DEX,5,Normal,Rare Recruit
[ ],1847,"""Buddha"" Sengoku - Supreme Commander of the Navy",INT,6+,Normal,Legend
[ ],1848,Akainu - Trembling Calamity,STR,4,Treasure Map,Rare Recruit
[ ],1849,Sakazuki - Trembling Calamity,STR,5,Treasure Map,Rare Recruit
[ ],1850,Squard - Traitorous Son,DEX,4,Treasure Map,Rare Recruit
[ ],1851,Whirl Spider Squard - Traitorous Son,DEX,5,Treasure Map,Rare Recruit
[ ],1858,Leo - Brave and Gallant Dwarf,INT,4,Limited RR,Rare Recruit
[ ],1859,Leo the Warrior - Brave and Gallant Dwarf,INT,5,Limited RR,Rare Recruit
[ ],1868,Fujitora - The International Military Draft's New Admiral,INT,5,Normal,Legend
[ ],1869,Issho - New Naval HQ's Strongest,INT,6,Normal,Legend
[ ],1870,Bellamy the Hyena - Corrida Coliseum B-Block The Bullet,PSY,4,Normal,Rare Recruit
[ ],1871,Bellamy the Hyena - Assassin for the Current King of Dressrosa,PSY,5,Normal,Rare Recruit
[ ],1872,Kyros - The Real Hero of Corrida Coliseum,STR,4,Normal,Rare Recruit
[ ],1873,Kyros - Hero of the Former Dressrosa Royal Family,STR,5,Normal,Rare Recruit
[ ],1874,Viola - Former Donquixote Pirate,QCK,4,Normal,Rare Recruit
[ ],1875,Viola - Princess of the Former Dressrosa Royal Family,QCK,5,Normal,Rare Recruit
[ ],1876,Rebecca - Corrida Coliseum D-Block The Undefeated Woman,DEX,4,Normal,Rare Recruit
[ ],1877,Rebecca - Future of the Former Dressrosa Royal Family,DEX,5,Normal,Rare Recruit
[ ],1880,"Hody Jones - Rampaging ""Holy Warrior""",INT,6+,Normal,Legend
[ ],1881,Hawk Eyes Mihawk - Black Blade: Night,INT,6+,Normal,Legend
[ ],1882,Silvers Rayleigh - Old Man Watching Over the New Age,DEX,5,Normal,Legend
[ ],1883,Dark King Rayleigh - Old Man Watching Over the New Age,DEX,6,Normal,Legend
[ ],1884,Nico Robin - Accomplice of the Revolution,INT,4,Treasure Map,Rare Recruit
[ ],1885,Nico Robin - Slicing Winds Captor,INT,5,Treasure Map,Rare Recruit
[ ],1886,Gladius - Guardian of the Third Step,QCK,4,Treasure Map,Rare Recruit
[ ],1887,Gladius - Blast to Capture Slicing Winds,QCK,5,Treasure Map,Rare Recruit
[ ],1894,Urouge - Supernova from the Sky,QCK,4,Limited RR,Rare Recruit
[ ],1895,"""Mad Monk"" Urouge - Supernova from the Sky",QCK,5,Limited RR,Rare Recruit
[ ],1901,Pica - Dressrosa King's Family,INT,4,Normal,Rare Recruit
[ ],1902,Pica - Top Donquixote Family Officer,INT,5,Normal,Rare Recruit
[ ],1903,Senor Pink - Dressrosa King's Family,QCK,4,Normal,Rare Recruit
[ ],1904,Senor Pink - Watchdog of the Underworld,QCK,5,Normal,Rare Recruit
[ ],1905,Sugar - Dressrosa King's Family,PSY,4,Normal,Rare Recruit
[ ],1906,Sugar - Donquixote Family's Key Figure,PSY,5,Normal,Rare Recruit
[ ],1907,Trebol - Dressrosa King's Family,STR,4,Normal,Rare Recruit
[ ],1908,Trebol - Special Officer's Guardian,STR,5,Normal,Rare Recruit
[ ],1909,Donquixote Doflamingo - Current King of Dressrosa,DEX,5,Normal,Legend
[ ],1910,Heavenly Demon Doflamingo - Ruler of the Birdcage,DEX,6,Normal,Legend
[ ],1911,Urouge - Destructive Temptations,INT,4,Treasure Map,Rare Recruit
[ ],1912,Urouge - Mercy of 108 Temptations,INT,5,Treasure Map,Rare Recruit
[ ],1913,Nefeltari Vivi - Long-Sleeved Kimono Beauty,DEX,4,Treasure Map,Rare Recruit
[ ],1914,Nefeltari Vivi - Comfortably Elegant Dignitary,DEX,5,Treasure Map,Rare Recruit
[ ],1921,Zoro the Pirate Hunter - Straw Hat Pirates: Born Again,DEX,6+,Normal,Legend
[ ],1922,"Trafalgar Law - People of the ""D""",QCK,6+,Normal,Legend
[ ],1925,Coby - Supply Ship Officer,INT,4,Limited RR,Rare Recruit
[ ],1926,Coby - Navy HQ Captain,INT,5,Limited RR,Rare Recruit
[ ],1927,Sir Crocodile - After the Dream of Utopia,STR,6+,Normal,Legend
[ ],1928,Man-Eating Bartolomeo - Straw Hat Pirate Fleet: Sons' Cups,QCK,6+,Normal,Legend
[ ],1934,Franky - Straw Hat Pirates' Secret Weapon,QCK,5,Normal,Legend
[ ],1935,Franky - Super Weapon from a Future Land,QCK,6,Normal,Legend
[ ],1936,Marshall D. Teach - The Darkness that Challenges the Sun,INT,4,Treasure Map,Rare Recruit
